ts,source,fetch_ok,total_items,total_weight,israel_items,israel_weight,attention_share,mean_sentiment,w_n2,w_n1,w_0,w_p1,w_p2,w_u
2026-09-01T08:45:25Z,elpais,0,0,0,0,0,,,,,,,,
2026-09-01T08:45:25Z,corriere,1,239,55,0,0,0.0,,,,,,,
2026-09-01T08:45:25Z,cbc,1,29,55,0,0,0.0,,,,,,,
2026-09-01T08:45:25Z,abcau,1,88,55,0,0,0.0,,,,,,,
2026-09-01T09:45:21Z,nyt,1,31,55,0,0,0.0,,,,,,,
2026-09-01T09:45:21Z,usatoday,1,33,55,0,0,0.0,,,,,,,
2026-09-01T09:45:21Z,nypost,1,166,55,1,1,0.01818,1.0,,,,,,
2026-09-01T09:45:21Z,cnn,1,46,55,0,0,0.0,,,,,,,
2026-09-01T09:45:21Z,foxnews,1,122,55,0,0,0.0,,,,,,,
2026-09-01T09:45:21Z,nbcnews,1,48,55,0,0,0.0,,,,,,,
2026-09-01T09:45:21Z,newsweek,1,77,55,0,0,0.0,,,,,,,
2026-09-01T09:45:21Z,bbc,1,30,55,0,0,0.0,,,,,,,
2026-09-01T09:45:21Z,guardian,1,37,55,0,0,0.0,,,,,,,
2026-09-01T09:45:21Z,thetimes,1,96,55,0,0,0.0,,,,,,,
2026-09-01T09:45:21Z,dailymail,1,327,55,0,0,0.0,,,,,,,
2026-09-01T09:45:21Z,dw,1,41,55,0,0,0.0,,,,,,,
2026-09-01T09:45:21Z,ap,0,0,0,0,0,,,,,,,,
2026-09-01T09:45:21Z,lemonde,1,38,55,0,0,0.0,,,,,,,
2026-09-01T09:45:21Z,lefigaro,1,191,55,0,0,0.0,,,,,,,
2026-09-01T09:45:21Z,spiegel,1,168,55,0,0,0.0,,,,,,,
2026-09-01T09:45:21Z,bild,1,176,55,0,0,0.0,,,,,,,
2026-09-01T09:45:21Z,elpais,1,105,55,0,0,0.0,,,,,,,
2026-09-01T09:45:21Z,corriere,1,245,55,0,0,0.0,,,,,,,
2026-09-01T09:45:21Z,cbc,1,29,55,0,0,0.0,,,,,,,
2026-09-01T09:45:21Z,abcau,1,89,55,0,0,0.0,,,,,,,
2026-09-01T10:45:24Z,nyt,1,32,55,0,0,0.0,,,,,,,
2026-09-01T10:45:24Z,usatoday,1,33,55,0,0,0.0,,,,,,,
2026-09-01T10:45:24Z,nypost,1,166,55,1,1,0.01818,1.0,,,,,,
2026-09-01T10:45:24Z,cnn,1,43,55,0,0,0.0,,,,,,,
2026-09-01T10:45:24Z,foxnews,1,123,55,0,0,0.0,,,,,,,
2026-09-01T10:45:24Z,nbcnews,1,49,55,0,0,0.0,,,,,,,
2026-09-01T10:45:24Z,newsweek,1,77,55,0,0,0.0,,,,,,,
2026-09-01T10:45:24Z,bbc,1,29,55,0,0,0.0,,,,,,,
2026-09-01T10:45:24Z,guardian,1,37,55,0,0,0.0,,,,,,,
2026-09-01T10:45:24Z,thetimes,1,95,55,0,0,0.0,,,,,,,
2026-09-01T10:45:24Z,dailymail,1,336,55,0,0,0.0,,,,,,,
2026-09-01T10:45:24Z,dw,1,42,55,0,0,0.0,,,,,,,
2026-09-01T10:45:24Z,ap,0,0,0,0,0,,,,,,,,
2026-09-01T10:45:24Z,lemonde,1,37,55,0,0,0.0,,,,,,,
2026-09-01T10:45:24Z,lefigaro,1,188,55,0,0,0.0,,,,,,,
2026-09-01T10:45:24Z,spiegel,1,163,55,0,0,0.0,,,,,,,
2026-09-01T10:45:24Z,bild,1,170,55,0,0,0.0,,,,,,,
2026-09-01T10:45:24Z,elpais,0,0,0,0,0,,,,,,,,
2026-09-01T10:45:24Z,corriere,1,248,55,0,0,0.0,,,,,,,
2026-09-01T10:45:24Z,cbc,1,31,55,0,0,0.0,,,,,,,
2026-09-01T10:45:24Z,abcau,1,86,55,0,0,0.0,,,,,,,
2026-09-01T11:45:26Z,nyt,1,33,55,0,0,0.0,,,,,,,
2026-09-01T11:45:26Z,usatoday,1,32,55,0,0,0.0,,,,,,,
2026-09-01T11:45:26Z,nypost,1,166,55,2,4,0.07273,1.0,,,,,,
2026-09-01T11:45:26Z,cnn,1,45,55,0,0,0.0,,,,,,,
2026-09-01T11:45:26Z,foxnews,1,124,55,0,0,0.0,,,,,,,
2026-09-01T11:45:26Z,nbcnews,1,50,55,0,0,0.0,,,,,,,
2026-09-01T11:45:26Z,newsweek,1,77,55,0,0,0.0,,,,,,,
2026-09-01T11:45:26Z,bbc,1,31,55,1,1,0.01818,-1.0,,,,,,
2026-09-01T11:45:26Z,guardian,1,41,55,0,0,0.0,,,,,,,
2026-09-01T11:45:26Z,thetimes,1,89,55,0,0,0.0,,,,,,,
2026-09-01T11:45:26Z,dailymail,1,352,55,0,0,0.0,,,,,,,
2026-09-01T11:45:26Z,dw,1,41,55,0,0,0.0,,,,,,,
2026-09-01T11:45:26Z,ap,0,0,0,0,0,,,,,,,,
2026-09-01T11:45:26Z,lemonde,1,37,55,0,0,0.0,,,,,,,
2026-09-01T11:45:26Z,lefigaro,1,194,55,0,0,0.0,,,,,,,
2026-09-01T11:45:26Z,spiegel,1,164,55,0,0,0.0,,,,,,,
2026-09-01T11:45:26Z,bild,1,171,55,0,0,0.0,,,,,,,
2026-09-01T11:45:26Z,elpais,1,105,55,0,0,0.0,,,,,,,
2026-09-01T11:45:26Z,corriere,1,249,55,0,0,0.0,,,,,,,
2026-09-01T11:45:26Z,cbc,1,31,55,0,0,0.0,,,,,,,
2026-09-01T11:45:26Z,abcau,1,86,55,0,0,0.0,,,,,,,
2026-09-01T12:45:26Z,nyt,1,33,55,0,0,0.0,,,,,,,
2026-09-01T12:45:26Z,usatoday,1,32,55,0,0,0.0,,,,,,,
2026-09-01T12:45:26Z,nypost,1,166,55,2,4,0.07273,0.25,,,,,,
2026-09-01T12:45:26Z,cnn,1,45,55,0,0,0.0,,,,,,,
2026-09-01T12:45:26Z,foxnews,1,128,55,0,0,0.0,,,,,,,
2026-09-01T12:45:26Z,nbcnews,1,52,55,0,0,0.0,,,,,,,
2026-09-01T12:45:26Z,newsweek,1,77,55,0,0,0.0,,,,,,,
2026-09-01T12:45:26Z,bbc,1,31,55,1,1,0.01818,-1.0,,,,,,
2026-09-01T12:45:26Z,guardian,1,42,55,0,0,0.0,,,,,,,
2026-09-01T12:45:26Z,thetimes,1,89,55,0,0,0.0,,,,,,,
2026-09-01T12:45:26Z,dailymail,1,364,55,0,0,0.0,,,,,,,
2026-09-01T12:45:26Z,dw,1,41,55,0,0,0.0,,,,,,,
2026-09-01T12:45:26Z,ap,0,0,0,0,0,,,,,,,,
2026-09-01T12:45:26Z,lemonde,1,38,55,0,0,0.0,,,,,,,
2026-09-01T12:45:26Z,lefigaro,1,195,55,0,0,0.0,,,,,,,
2026-09-01T12:45:26Z,spiegel,1,160,55,0,0,0.0,,,,,,,
2026-09-01T12:45:26Z,bild,1,170,55,0,0,0.0,,,,,,,
